,index_name,index_value,Company Report Name,Year,Predicted_label,Score
0,GHG_Emissions.absolute_reduction,33,ST-Engineering-Sustainability-Report,2020,Greenhouse Gas Emissions(“GHG”),7
1,GHG_Emissions.intensity_reduction,44,ST-Engineering-Sustainability-Report,2020,Greenhouse Gas Emissions(“GHG”),7
2,Anti_Bribery_Corruption_Training.trained_staff_percentage,98,ST-Engineering-Sustainability-Report,2020,Development & Training,9
3,Anti_Bribery_Corruption_Training.trained_staff_count,12810,ST-Engineering-Sustainability-Report,2020,Development & Training,6
4,png.value_added_per_employment_cost,1.54,ST-Engineering-Sustainability-Report,2020,Economic Performance,7
5,absolute_GHG_emissions_reduction.percentage,33,ST-Engineering-Sustainability-Report,2020,Greenhouse Gas Emissions(“GHG”),7
6,GHG_emissions_intensity_reduction.percentage,44,ST-Engineering-Sustainability-Report,2020,Greenhouse Gas Emissions(“GHG”),7
7,reduction_target.percentage,36,ST-Engineering-Sustainability-Report,2020,Greenhouse Gas Emissions(“GHG”),4
8,GHG_emissions_reduction.tonnes_CO2e,3610,ST-Engineering-Sustainability-Report,2020,Greenhouse Gas Emissions(“GHG”),4
9,water_consumption_intensity_increase.percentage,4.4,ST-Engineering-Sustainability-Report,2020,Water Consumption,5
10,material_and_waste_recycled.percentage,54,ST-Engineering-Sustainability-Report,2020,Waste Generation,6
11,material_and_waste_recycled.total_tonnes,11700,ST-Engineering-Sustainability-Report,2020,Waste Generation,7
12,2018.Water_Consumption,664,ST-Engineering-Sustainability-Report,2020,Water Consumption,7
13,2019.Water_Consumption,656,ST-Engineering-Sustainability-Report,2020,Water Consumption,7
14,2020.Water_Consumption,717,ST-Engineering-Sustainability-Report,2020,Water Consumption,7
15,Waste_Recycled_SGP.Waste_Oil,45.3,ST-Engineering-Sustainability-Report,2020,Waste Generation,6
16,Waste_Recycled_SGP.Metal,34.1,ST-Engineering-Sustainability-Report,2020,Waste Generation,7
17,Waste_Recycled_SGP.Wood_Crates_Pallets,15.2,ST-Engineering-Sustainability-Report,2020,Waste Generation,7
18,Waste_Recycled_SGP.Tyres,2.4,ST-Engineering-Sustainability-Report,2020,Waste Generation,4
19,Waste_Recycled_SGP.Paper_Carton,1.8,ST-Engineering-Sustainability-Report,2020,Waste Generation,4
20,Waste_Recycled_SGP.Batteries,0.9,ST-Engineering-Sustainability-Report,2020,Waste Generation,8
21,Waste_Recycled_SGP.Electronic_Waste,0.3,ST-Engineering-Sustainability-Report,2020,Waste Generation,8
22,Reducing_Engine_Test_Cell_Fuel_Consumption.Fuel_Consumption_Reduction,20,ST-Engineering-Sustainability-Report,2020,Energy Consumption(GJ),7
23,png.airblast_coolers_energy_reduction,80,ST-Engineering-Sustainability-Report,2020,Energy Consumption(GJ),8
24,png.economic_contributions,6.7,ST-Engineering-Sustainability-Report,2020,Economic Performance,7
25,png.EconomicContributions2020,6.7,ST-Engineering-Sustainability-Report,2020,Economic Performance,7
26,GroupEconomicContribution.EmployeeWagesSalariesBenefits,1941,ST-Engineering-Sustainability-Report,2020,Economic Performance,4
27,GroupEconomicContribution.DividendsAndInterestPaid,518,ST-Engineering-Sustainability-Report,2020,Economic Performance,4
28,GroupEconomicContribution.GovtTaxesAndLevies,30,ST-Engineering-Sustainability-Report,2020,Economic Performance,3
29,GroupEconomicContribution.Total,6669,ST-Engineering-Sustainability-Report,2020,Economic Performance,6
30,png.2020_trained_employees,300,ST-Engineering-Sustainability-Report,2020,Development & Training,3
31,png.trained_engineers_technicians,3000,ST-Engineering-Sustainability-Report,2020,Development & Training,7
32,png.employees_upskill_reskill,5000,ST-Engineering-Sustainability-Report,2020,Development & Training,7
