index_name,index_value,Company Report Name,Year,Predicted_label,Score
png.listing_year,2006,CDL_Hospitality_report_,2021,Development & Training,8
ESG_Pillars[1].SDGs[0],8,CDL_Hospitality_report_,2021,Development & Training,8
ESG_Pillars[3].SDGs[0],3,CDL_Hospitality_report_,2021,Alignment with Frameworks And Disclosure Practices,3
ESG_Pillars[3].SDGs[1],5,CDL_Hospitality_report_,2021,Board Composition,5
ESG_Pillars[3].SDGs[2],8,CDL_Hospitality_report_,2021,Assurance of Sustainability Report,8
ESG_Pillars[3].SDGs[3],10,CDL_Hospitality_report_,2021,Development & Training,10
ESG_Pillars[4].SDGs[0],10,CDL_Hospitality_report_,2021,Assurance of Sustainability Report,10
ESG_Pillars[4].SDGs[1],17,CDL_Hospitality_report_,2021,Board Composition,6
TechnologicalAdvancements.WaterEfficientTapsAndShowerheads,TRUE,CDL_Hospitality_report_,2021,Water Consumption,10
FY2020.Singapore,372836,CDL_Hospitality_report_,2021,Alignment with Frameworks And Disclosure Practices,0
FY2021.Singapore,309109,CDL_Hospitality_report_,2021,Development & Training,0
FY2020.Singapore,1.96,CDL_Hospitality_report_,2021,Alignment with Frameworks And Disclosure Practices,8
FY2021.Singapore,1.56,CDL_Hospitality_report_,2021,Alignment with Frameworks And Disclosure Practices,2
Notes.GFAWaterIntensityFY2021,7,CDL_Hospitality_report_,2021,Water Consumption,7
HiltonCambridgeCityCentre.Year,2021,CDL_Hospitality_report_,2021,Development & Training,6
Singapore.Recycling,64616.3,CDL_Hospitality_report_,2021,Waste Generation,6
Singapore.Landfill,267.58,CDL_Hospitality_report_,2021,Waste Generation,0
Singapore.Others,13.81,CDL_Hospitality_report_,2021,Alignment with Frameworks And Disclosure Practices,0
Singapore.TotalWaste,64897.69,CDL_Hospitality_report_,2021,Waste Generation,8
Overseas.Recycling,45.37,CDL_Hospitality_report_,2021,Waste Generation,4.5
Overseas.Landfill,270997.87,CDL_Hospitality_report_,2021,Waste Generation,4
Overseas.Others,3.96,CDL_Hospitality_report_,2021,Development & Training,10
Overseas.TotalWaste,271047.2,CDL_Hospitality_report_,2021,Waste Generation,7
AllHotels.Landfill,271265.45,CDL_Hospitality_report_,2021,Waste Generation,10
AllHotels.TotalWaste,335944.89,CDL_Hospitality_report_,2021,Waste Generation,5
FY_2021.Total_Employees,827,CDL_Hospitality_report_,2021,Employment,1
New_Hires.Male,178,CDL_Hospitality_report_,2021,Development & Training,2
New_Hires.Female,118,CDL_Hospitality_report_,2021,Gender Diversity,4
Hire_Rate.Male,3.57,CDL_Hospitality_report_,2021,Gender Diversity,3.6
Hire_Rate.Female,2.36,CDL_Hospitality_report_,2021,Gender Diversity,2.4
Turnover.Male,181,CDL_Hospitality_report_,2021,Gender Diversity,8
Turnover.Female,130,CDL_Hospitality_report_,2021,Gender Diversity,4
Turnover_Rate.Male,3.63,CDL_Hospitality_report_,2021,Gender Diversity,4
Turnover_Rate.Female,2.6,CDL_Hospitality_report_,2021,Gender Diversity,6
New_Hires.Male,298,CDL_Hospitality_report_,2021,Gender Diversity,6
New_Hires.Female,233,CDL_Hospitality_report_,2021,Gender Diversity,4
Hire_Rate.Male,5.97,CDL_Hospitality_report_,2021,Gender Diversity,7
Hire_Rate.Female,4.67,CDL_Hospitality_report_,2021,Gender Diversity,4
Turnover.Male,155,CDL_Hospitality_report_,2021,Gender Diversity,8
Turnover.Female,221,CDL_Hospitality_report_,2021,Gender Diversity,2
Turnover_Rate.Male,3.1,CDL_Hospitality_report_,2021,Gender Diversity,5
Turnover_Rate.Female,4.43,CDL_Hospitality_report_,2021,Gender Diversity,5
New_Hires.Male,476,CDL_Hospitality_report_,2021,Development & Training,6
New_Hires.Female,351,CDL_Hospitality_report_,2021,Gender Diversity,7
Hire_Rate.Male,9.5,CDL_Hospitality_report_,2021,Gender Diversity,9.5
Hire_Rate.Female,7,CDL_Hospitality_report_,2021,Gender Diversity,7
Turnover.Male,402,CDL_Hospitality_report_,2021,Gender Diversity,1
Turnover.Female,271,CDL_Hospitality_report_,2021,Gender Diversity,2
Turnover_Rate.Male,8.1,CDL_Hospitality_report_,2021,Gender Diversity,2
Turnover_Rate.Female,5.4,CDL_Hospitality_report_,2021,Gender Diversity,5
Work-Related Injuries FY 2021.Fatalities,0,CDL_Hospitality_report_,2021,Occupational Health & Safety,10
Work-Related Injuries FY 2021.High-Consequence Injuries,42,CDL_Hospitality_report_,2021,Occupational Health & Safety,0
Work-Related Injuries FY 2021.Recordable Injuries,91,CDL_Hospitality_report_,2021,Occupational Health & Safety,4
Work-Related Injuries FY 2021.Total Injuries,133,CDL_Hospitality_report_,2021,Occupational Health & Safety,7
Work-Related Injuries FY 2021.Hours Worked,2600000,CDL_Hospitality_report_,2021,Occupational Health & Safety,3.3
Work-Related Injuries FY 2021.Rate of Fatalities,0,CDL_Hospitality_report_,2021,Occupational Health & Safety,10
Work-Related Injuries FY 2021.Rate of High-Consequence Injuries,3.19,CDL_Hospitality_report_,2021,Occupational Health & Safety,7
Work-Related Injuries FY 2021.Rate of Recordable Injuries,6.9,CDL_Hospitality_report_,2021,Occupational Health & Safety,4
PermanentStaff.Male,473,CDL_Hospitality_report_,2021,Development & Training,8.5
PermanentStaff.Female,299,CDL_Hospitality_report_,2021,Gender Diversity,6
TemporaryStaff.Male,62,CDL_Hospitality_report_,2021,Development & Training,10
TemporaryStaff.Female,37,CDL_Hospitality_report_,2021,Gender Diversity,0
PermanentStaff.Male,2913,CDL_Hospitality_report_,2021,Board Composition,8
PermanentStaff.Female,634,CDL_Hospitality_report_,2021,Development & Training,10
TemporaryStaff.Male,633,CDL_Hospitality_report_,2021,Employment,5
TemporaryStaff.Female,157,CDL_Hospitality_report_,2021,Gender Diversity,5
PermanentStaff.Male,3386,CDL_Hospitality_report_,2021,Board Composition,10
PermanentStaff.Female,933,CDL_Hospitality_report_,2021,Gender Diversity,7
TemporaryStaff.Male,695,CDL_Hospitality_report_,2021,Employment,7
TemporaryStaff.Female,194,CDL_Hospitality_report_,2021,Gender Diversity,2
