Image Name,Index class,Index prefix,Index name,2023
page_1.png,Company Info,Report Year,Sustainability Report,N/A
page_2.png,,,,
page_3.png,Innovation and Quality,Technological Innovation and Informatization Development,,24
page_4.png,Company Information,Company Full Name,"Trina Solar Co., Ltd.",Trina Solar
page_5.png,,Trinasolar achieved revenue of,,113.39 billion RMB
page_6.png,,,,
page_7.png,Environmental,Environmental Compliance,Carbon Emissions Management,
page_8.png,Governance,Board of Directors,"The highest responsible and decision-making body for ESG management, deciding on ESG strategy and medium- and long-term planning.",
page_9.png,Economic Performance,Total Revenue,,113.39 billion RMB
page_10.png,,,,
page_11.png,,,,
page_12.png,Published standards,Led or participated by the Company,Standards,126
page_13.png,Technology Leadership,Took the lead in the industry to create the i-TOPCon cell world record,Selected in the United States NREL world solar cell record efficiency map and Professor Martin Green edited solar cell efficiency list,
page_14.png,Intellectual Property,Number of effective invention patents,Trinasolar,1582
page_15.png,Intellectual Property Management System,Patents and software copyrights obtained,piece,"1,582"
page_16.png,,,,
page_17.png,,,,
page_18.png,Case,"Chuzhou Production Base, Vietnam Crystal Silicon and other Factories",Quality Month Activities,
page_19.png,Satisfaction Survey,Number of customer questionnaires,Overall customer satisfaction,365
page_20.png,Industry Collaboration,Trinasolar Participated in Photovoltaic Industry Ecological Innovation Conference,Deepening Industry Collaboration,May
page_21.png,Standards,Development of standards,Participation in development activities,181
page_22.png,GHG emissions intensity of cell,tCO鈧俥/MW,2023,27.66
page_23.png,Environmental Compliance,Compliance with laws and regulations,"Water Management, Wastewater Discharge, Exhaust Gas Emission, Waste Management",
page_24.png,Climate and Carbon Emission Management,Carbon Intensity Targets,Q4 2023 value,2.47%
page_25.png,Transition Risks,Increased operating costs,Higher low-carbon operating costs,Not specified
page_26.png,GHG Emissions,"Operational Scope Emissions - Location-based (10,000 tons of CO鈧俥)",Scope 1 Emissions,58.37
page_27.png,Energy Management Goals,Integrated energy consumption intensity of cell (tce/MW),Decreased by 40% by 2025 from the base year 2020,
page_28.png,Energy Consumption,Integrated Energy Consumption (tce),Trina Solar,
page_29.png,Water Risk,WRI Water Risk Level,Extremely high (4-5),3
page_30.png,Water Management,Total water withdrawal (tonnes),,
page_31.png,Exhaust Gas Management,Total exhaust gas emissions (billion m鲁),,
page_32.png,Employees and Community,Total number of employees,,"43,031"
page_33.png,Diverse Employment,Proportion of female employees,Trinasolar,26.06%
page_34.png,2023 Trinasolar Employment Key Performance,Percentage of employees by gender at the end of the reporting period,Male,"31,816"
page_35.png,Employee Rights,Compensation System,Performance-based pay mechanism,31% non-frontline-production employees participated
page_36.png,Parental Leave,Employees who took parental leave,Total employees,323
page_37.png,Employee Training,Average hours of training per employee,Senior Management,13.27
page_38.png,Employee Engagement,Employee appraisal coverage,Regular performance appraisals,100%
page_39.png,Health and Safety,Total Recordable Incident Rate (TRIR),Reporting Period,0.841
page_40.png,Health and Safety,Training and participants,Occupational health training sessions,"5,711"
page_41.png,,,,
page_42.png,Governance,Percentage of Independent Director,,42.90%
page_43.png,Meetings,General meetings,shareholders,6
page_44.png,Governance,Board of Directors and its Audit Committee,"Responsible for decision-making on compliance strategy, policy, medium and long-term goals.",
page_45.png,Compliance,Compliance Management System Training,Participants,More than 70 employees
page_46.png,Risk Management,Risk Management Culture,Icons or terms related to risk management practices,N/A
page_47.png,None,Serial No.,Company,35 - Trinasolar Limited
page_48.png,,,,
page_49.png,Conflict Minerals Management,Supplies Involved in the Risk of Using Conflict Minerals,Junction box,10
page_50.png,Business Ethics,Coverage rate of anti-corruption and business ethics training for directors,,96%
page_51.png,Reporting Mechanism,Reporting materials received,,25
page_52.png,Sustainable Development Awards,Awards,2023 Forbes China Top 50 Innovative Enterprises,Forbes China
page_53.png,The organization and its reporting practices,2月1日,Organizational details,About the Report
page_54.png,GRI 302 Energy,302-1,Energy consumption within the organization,
page_55.png,GRI 408 Child Labor,3月3日,Management of material topics,Employee Rights and Benefits
page_56.png,,,,
