Image Name,Index class,Index prefix,Index name,2021
page_1.png,Integrated,Sustainability Report,2021,
page_2.png,Introduction and Leadership Statements,2020,2020 Sustainability Highlights,
page_3.png,,,,
page_4.png,Environmental,Reduction in carbon emissions intensity,since 2007 levels,44%
page_5.png,,,,
page_6.png,Sustainability Reporting,Asia Sustainability Reporting Awards,Best Carbon Disclosure,Gold
page_7.png,Critical Moments,COVID-19 Responses,Started providing property and rental rebates to tenants incrementally that amounted to over,$40 million by end-2020
page_8.png,Economic,Property tax and rental rebates provided to tenants,Singapore and overseas,Comparable to 2020 sales
page_9.png,Integrated Sustainability,Report 2021,,
page_10.png,Environmental,Energy-related global carbon emissions,Buildings,40%
page_11.png,,,,
page_12.png,Investment,PATMI ($ million),Group's performance for FY2020,566.4
page_13.png,,,,
page_14.png,,,,
page_15.png,,,,
page_16.png,,,,
page_17.png,,,,
page_18.png,Environmental,Energy use intensity,Office & Industrial,37% reduction
page_19.png,Goal 2: Reducing Environmental Impact,Property Development (PD's),Achieve a waste intensity of 40 kg/m²,53.66 kg/m²
page_20.png,Sustainability Governance Structure,Board Sustainability Committee,Chief Sustainability Officer,N/A
page_21.png,,,,
page_22.png,Highly critical material issues,1,"Occupational Health, Safety and Well-being",
page_23.png,"Occupational Health, Safety and Well-being",All stakeholders across our value chain,Occupational health and safety,Not specified
page_24.png,,,,
page_25.png,,,,
page_26.png,"Occupational Health, Safety and Well-being",Supporting SDGs,3,
page_27.png,Product/Service Quality and Responsibility,Supporting SDGs,,
page_28.png,Stakeholder Impact and Partnerships,,Supporting SDGs,10
page_29.png,"Cyber-readiness, Security and Data Privacy",Supporting SDGs,16,none
page_30.png,Sustainable Finance,"As of 31 December 2020, CDL has secured",Sustainable finance including a green bond,$1.3 billion
page_31.png,,,,
page_32.png,,,,
page_33.png,CDL Integrated Sustainability Report,Page,Introduction and Leadership Statements,30
page_34.png,Community Development,Innovation initiatives,Green and Safe Communities,Not Applicable
page_35.png,Manufactured Capital,Activities,"Innovation, Digitalisation and Technology",
page_36.png,Building Certifications,BCA Green Mark,Portfolio certifications,110
page_37.png,Introduction and Leadership Statements,"Anchoring Innovation for Green, Safe and Healthy Communities",3S Green Building Framework,N/A
page_38.png,Accelerating Value Creation,EIC,Enterprise Innovation Committee,
page_39.png,Innovation,Acoustic Friendly Ventilation Window (AFVW),Air change efficiency improvement,4 times more
page_40.png,,,,
page_41.png,Innovation Highlights,Autonomous UVC Disinfection Robots,CDL deployed UVC robots at City Square Mall and Republic Plaza,NA
page_42.png,Longstanding Commitment to Support EV Adoption,EV charging points to be built at public car parks and private premises,Singapore Green Plan 2030,"28,000 more"
page_43.png,,,,
page_44.png,Customer Satisfaction,Homebuyers�?Satisfaction (%),Overall Level of Satisfaction,78
page_45.png,Sustainability Initiative,Green Lease Partnership Programme,CDL Tenants,100%
page_46.png,Quality Standard,Total Units Submitted for BCA Quality Mark Scheme,Residential Units,0
page_47.png,SSA Outreach,Events and trainings conducted,June 2017 - December 2020,> 450
page_48.png,Virtual Event,Storytime @ My Tree House,Date,15-May-20
page_49.png,Environmental,Alleviating,Environmental Impact,
page_50.png,Natural Capital,,Carbon Emissions Reduction Initiatives,
page_51.png,,,,
page_52.png,Transition Risks,Building standards,China,�?
page_53.png,,,,
page_54.png,Transition,Building standards,Carbon pricing,
page_55.png,Environmental,Raised carbon intensity reduction target to,59% by 2030 (from 2007 levels),
page_56.png,Environmental,SBTi-validated Carbon Emissions Intensity Reduction Target,Performance in 2020,44% (AGAINST 2007)
page_57.png,Environmental,Total Carbon Emissions from CDL's Operations in Singapore [Tonnes CO2e],CDL Corporate Office,459
page_58.png,Carbon Emissions Intensity,CDL's Operations in Singapore [Kg CO2 e/m³],CDL Corporate Office,126.7 (95.4¹)
page_59.png,Energy Management,Key Energy Management Initiatives,Design,"Incorporate passive design strategies that reduce solar heat gain through the design of building form, envelope and orientation"
page_60.png,Environmental,Energy use intensity of completed projects (kWh/m²),2020 performance,82.12
page_61.png,Energy Usage,Total Energy Usage of CDL's Operations in Singapore (MWh),CDL Corporate Office,450
page_62.png,Energy Usage,Total Energy Usage of CDL's Operations in Singapore and Six Key Subsidiaries (MWh),CBM**,132
page_63.png,,,,
page_64.png,Water Usage,Total Water Usage of CDL's Operations in Singapore (m³),CDL Managed Buildings,"339,143"
page_65.png,Water Usage,Total Water Usage of CDL's Operations in Singapore and Six Key Subsidiaries (m³),M&C,"4,445,746"
page_66.png,Environmental Impact,Recycling rate for large malls,City Square Mall,11.40%
page_67.png,Environmental,Waste Generated by CDL’s Operations in Singapore (Tonnes),Waste Recycled by CDL Managed Buildings,3
page_68.png,EHS-related Fines,No. of Fines - CDL Construction Sites,2019,5
page_69.png,Supply Chain,Top suppliers and raw materials study,Supply Chain Segmentation Study,100
page_70.png,,,,
page_71.png,Materials,"Concrete (including granite, cement and fine aggregate)",,
page_72.png,Top Five Building Materials (Tonnes),Granite,,"67,396"
page_73.png,,,,
page_74.png,,,,
page_75.png,Corporate Governance,Ranking,Singapore Governance and Transparency Index (SGTI),Ranked 3rd
page_76.png,,,,
page_77.png,,,,
page_78.png,,,,
page_79.png,,,,
page_80.png,Safety Performance,AFR (Accident Frequency Rate),Corporate Office,1.3
