Image Name,Index class,Index prefix,Index name,2023
page_1.png,,,,
page_2.png,Generation output,Total generation output,,12.4 TWh
page_3.png,,,,
page_4.png,Carbon and Energy,Upstream leased assets,Datapoint,tCO2e 174
page_5.png,,,,
page_6.png,Biomass,2019,Proportion of woody biomass consumed at Drax Power Station with SBP Compliant claim,
page_7.png,Health and safety,Total Recordable Incident Rate (TRIR),,0.38
page_8.png,Social Value,Total Donations (including Drax Foundation),,"2,688,596"
page_9.png,Speak Up (whistleblowing),Total number of Speak Up reports raised,n,49
page_10.png,Environmental,Group total Scope 1 greenhouse gas emissions,,
page_11.png,Subject Matter Information,Group total,Scope 1 greenhouse gas emissions,Page 3 of the Report
page_12.png,Water,Total water abstracted,Power generation,Page 5 of the Report
page_13.png,,,,
page_14.png,Scope 2 Purchased Electricity,Group total Scope 2 (location based) greenhouse gas emissions,,
page_15.png,,,,
page_16.png,None,None,None,None
