Image Name,Index class,Index prefix,Index name,2023
page_1.png,Energy,Accelerating the,Energy Transition,
page_2.png,CSR Ratings,ENGIE,S&P Global,81
page_3.png,,,,
page_4.png,Employee Statistics,Number of employees,,"96,400"
page_5.png,Total Electricity Production Capacities,Electricity capacities,Total capacity,102.7 GW
page_6.png,,,,
page_7.png,ESG Commitments,Votes in favor of resolution,Shareholders,96%
page_8.png,,,,
page_9.png,,,,
page_10.png,,,,
page_11.png,Gas Pricing,REFERENCE GAS SPOT PRICE IN EUROPE,2022 (â‚?/ MWh),
page_12.png,,,,
page_13.png,Financial,Customer support measures,Customer support,â‚?0 m
page_14.png,,,,
page_15.png,Priority Risks,Priority risks monitored by the Board of Directors,in 2022,8
page_16.png,,,,
page_17.png,Responsible consumption and production,55% reduction in the production of hazardous waste,in the Group vs,2019
page_18.png,COâ‚?Energy production,GHG emissions from energy production (scopes 1 and 3),,60
page_19.png,GHG Emissions,"GHG emissions from energy production (MT CO2, eq.)",2020,343
page_20.png,People,Lost time injury frequency rate for employees and subcontractors on closed sites with controlled access,Health & Safety,2.5
page_21.png,Environmental,Environmental commitments,"Climate, Biodiversity, Water",
page_22.png,,,,
page_23.png,,,,
page_24.png,,,,
page_25.png,,,,
page_26.png,Environmental,Net Zero Carbon,ENGIE target,2045
page_27.png,Value Creation,Accelerate the energy transition with a value-creating business model,26,
page_28.png,Financial capital,â‚?9.3 billion,in shareholdersâ€?equity,
page_29.png,Planet,MT CO2 eq. of GHG emissions,for energy production,60
page_30.png,Progress Made,Renewable capacity,Total 100% renewable installed capacity,38 GW
page_31.png,Energy,Employees worldwide,,"42,600"
page_32.png,Business Performance,Employees worldwide,,"21,800"
page_33.png,Progress Made,Employees worldwide,,"16,150"
page_34.png,GHG Emissions Target,Energy production,Scopes 1 and 3 CO2 emissions,43 Mt CO2 eq
page_35.png,Renewable Energy Capacity,Total electricity production capacity,Target by 2030,20 GW
page_36.png,,,,
page_37.png,Environmental,Greenhouse gas emissions,CHâ‚? COâ‚? and Nâ‚‚O emissions,Not specified
page_38.png,Economic,Companies in the Collectif d'entreprises pour une Ã©conomie plus inclusive,ENGIE,35
page_39.png,N/A,N/A,N/A,N/A
page_40.png,,,,
