Image Name,Index class,Index prefix,Index name,2022
page_1.png,,,,
page_2.png,Contents,1,About This Report,
page_3.png,,,,
page_4.png,Financial Performance,Profit,US$ million,325.2
page_5.png,,,,
page_6.png,,,,
page_7.png,Production,Fresh fruit bunches production (million tonnes),,3.362
page_8.png,Refining & Biodiesel,combined capacity,,"850,000 tonnes per annum"
page_9.png,,,,
page_10.png,,,,
page_11.png,,,,
page_12.png,,,,
page_13.png,Sustainability,Milestones,Built methane capture facilities,4th and 5th
page_14.png,Climate Change,Avoided emissions,Carbon dioxide equivalent,"213,435 tonnes"
page_15.png,Conservation and management of High Conservation Value (HCV) areas and High Carbon Stock (HCS) forests,Rehabilitated area,HCV area,
page_16.png,Occupational health and safety,Seven fatalities,Fatalities,Not provided
page_17.png,,,,
page_18.png,FFB Yield and Extraction Rates,Nucleus FFB yield (tonnes/hectare),,18
page_19.png,Environmental,Replanted area,Old oil palm trees,3000 hectares
page_20.png,Environmental,HCV-HCSA assessments conducted,First Resources鈥?estates,"More than 24,000 hectares"
page_21.png,Environmental,Rehabilitating Conservation Areas,Rehabilitated degraded HCV and HCS areas,"Not specified, context involves ongoing restoration from prior year"
page_22.png,Environmental,Restoration area (hectares),Conservation and forest areas,20
page_23.png,,,,
page_24.png,Environmental,Number of fire incidences by region,Riau,
page_25.png,Environmental,NUMBER OF METHANE CAPTURE FACILITIES AND ESTIMATED GHG EMISSIONS (tCO2 e) AVOIDED PER YEAR,2019,"80,856"
page_26.png,Environmental,NET GHG EMISSIONS INTENSITY (TONNES OF CO2E/TONNE OF CPO PRODUCED),PT MSSP,9.92
page_27.png,Environmental,EMISSION SOURCES AND SINKS,Crop sequestration,
page_28.png,Climate Change Adaptation,Year of implementation,TCFD recommendations,2022
page_29.png,Physical Risks,SSP 1-2.6,Global CO2 emissions,below 2掳C
page_30.png,,,,
page_31.png,,,,
page_32.png,Climate-Related Risks and Opportunities,Key Transition Risks,Change in customer behaviour,N/A
page_33.png,METRICS AND TARGETS,GHG emissions tracking,RSPO PalmGHG calculator (version 4),
page_34.png,Environmental,Total water consumption for operations (cubic metres),Water consumption for processing of FFB,"3,867,756"
page_35.png,Environmental,EFB (tonnes),Reused as organic fertiliser,"506,844"
page_36.png,Environmental,BIOLOGICAL OXYGEN DEMAND (BOD) LEVELS OF TREATED POME BY DISCHARGE DESTINATION AND REGION (MILLIGRAMS/LITRE),Sea discharge - Riau,4
page_37.png,Environmental,Hazardous waste management,Mills awarded Blue rating,
page_38.png,Environmental,Pest Management and Chemical Usage,Integrated Pest Management and Herbicide Usage,N/A
page_39.png,Pesticides,Kilogrammes/hectare,Fungicide,0.004
page_40.png,Usage of Organic Fertilisers,EFB (tonnes),,"494,034"
page_41.png,,,,
page_42.png,Community,Community Investment,Sustainability efforts,N/A
page_43.png,Community Engagement and Development,Education programs,Schools supported,40
page_44.png,Infrastructure,Allocated budget for infrastructure development,"Roads, bridges, kindergarten",IDR 2.2 billion
page_45.png,Community Engagement and Development,Initiative,Sedentary Agriculture Programme,N/A
page_46.png,Number of Employees by Employment Contract and Gender,Male,Permanent,15039
page_47.png,,,,
page_48.png,Employee Relations and Workplace,Training and Development,Employee Trainings,Not specified
page_49.png,Employee Training,"Average training hours per permanent employee, by employee category [404-1]",Senior Management,1.5
page_50.png,Percentage of the Board and Employees by Gender,Board,Board,"{'Male': '88.9', 'Female': '11.1'}"
page_51.png,Labour Conditions and Human Rights,,,
page_52.png,The Ratio of Lowest Monthly Wage to Legal Minimum Wage by Region,Monthly legal minimum wage (IDR),Riau,"3,189,303"
page_53.png,Employee Relations and Workplace,FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING,"[2-30, 407-1]",
page_54.png,Employee Relations and Workplace,Occupational Health and Safety,OHS Management System (ISO 45001:2018),
page_55.png,Employee Relations and Workplace,EXTRACTION COVID-19 PANDEMIC,Vaccination Rate,100% as of end 2022
page_56.png,Work-related Fatalities,Number of Injuries,,2
page_57.png,,,,
page_58.png,Supply Chain,traceability to mills since 2017,100%,
page_59.png,,,,
page_60.png,Supply Chain,Screened suppliers for social and environmental criteria,New suppliers,13
page_61.png,Supply Chain,Hectares of nucleus plantations,,"175,563"
page_62.png,Consumer Health,Hazard Analysis and Critical Control Points (HACCP) certification,Kernel Crushing Plant (KCP) and refinery,Not applicable
page_63.png,CERTIFICATION STATUS OF RSPO AND ISPO,Percentage of certified plantation area,RSPO,10%
page_64.png,,,,
page_65.png,,,,
page_66.png,,,,
page_67.png,Stakeholder Engagement,Engagement Method and Frequency,Customers,
page_68.png,,,,
page_69.png,General Disclosure,2月1日,Organisational details,
page_70.png,Governance,2月9日,Governance structure and composition,Annual Report 2022
page_71.png,"Strategy, Policies and Practices",2月22日,Statement on sustainable development strategy,pg 2-4
page_72.png,Environmental Management,GRI 3,Yield and Extraction Improvements (Material topic),pg 16
page_73.png,GRI 201: Economic Performance 2016,201-2,Financial implications and other risks and opportunities due to climate change,
page_74.png,General Disclosure,GRI 306: Waste 2020,306-3 Waste Generated,pg 33
page_75.png,,,,
page_76.png,GRI 3: Material Topics 2021,3月3日,Management of material topics,pg 49
page_77.png,General Disclosure,GRI 3: Material Topics 2021,Management of material topics,pg 52
page_78.png,Business Conduct and Ethics,GRI 3:,Management of material topics,
page_79.png,General Disclosure,GRI 414: Supplier Social Assessment 2016,New suppliers that were screened using social criteria,pg 57
page_80.png,,,,
page_81.png,Workforce Health and Safety,FB-AG-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR) for (a) direct employees and (b) seasonal and migrant employees",Rate
page_82.png,GMO Management,FB-AG-430b.1,Discussion of strategies to manage the use of genetically modified organisms (GMOs),n/a
page_83.png,,,,
page_84.png,,,,
