Image Name,Index class,Index prefix,Index name,2021
page_1.png,Environmental,Sustainability Report,Advancing Sustainability Accelerating Growth,2021
page_2.png,,,,
page_3.png,,,,
page_4.png,Environmental,Scope 1 and Scope 2 carbon emissions,2024 target,halve
page_5.png,Environmental,Absolute Scope 1 and Scope 2 carbon emissions (reduction),Group's effort,8.60%
page_6.png,Environmental,Avoided emissions (tCO2e),Waste-to-Energy plants,3741000
page_7.png,Community Investment,Disbursed through Keppel Care Foundation (in 2021),Keppel Group,S$4.6 million
page_8.png,MSCI ESG RATINGS,Rating,AAA,
page_9.png,Index Series,FTSE4Good,Inclusion since,2019
page_10.png,Financial,Total FY 2021 Revenue,Markets outside of Singapore,$8.6b
page_11.png,,,,
page_12.png,Ownership,Keppel Offshore & Marine Ltd,Energy & Environment,100%
page_13.png,Environmental,Scope 1 and Scope 2 carbon emissions target,Group's renewable energy portfolio,Grow by 7 GW by 2030
page_14.png,,,,
page_15.png,Climate Action,,,
page_16.png,,,,
page_17.png,Business Practices,Ranking of material issues,Business Ethics & Integrity,1
page_18.png,Environmental,Scope 1 and Scope 2 carbon emissions,Keppel,No specific data
page_19.png,Environmental,Water consumption intensity,Reduction target,20% reduction
page_20.png,,,,
page_21.png,Labour Practices,Employee Engagement Score (%),Keppel Group,84
page_22.png,COMMUNITY DEVELOPMENT,COVID-19-related assistance and contributions,Keppel disbursed support,
page_23.png,Governance,Describe management's role in assessing and managing climate-related risks and opportunities.,Keppel's Approach,N/A
page_24.png,,,,
page_25.png,Physical and Transition Risks,Assessment of climate-related hazards,RCP scenarios,50 key assets globally
page_26.png,Environmental,Scope 1 and Scope 2 emissions reduction target,Absolute reduction from 2020 baseline,"26.68 tCO2e (Scope 1), 128,494 tCO2e (Scope 2)"
page_27.png,Climate Action,Achieved 27% weighted average reduction in waste intensity,2019 baseline,
page_28.png,,,,
page_29.png,N/A,N/A,N/A,N/A
page_30.png,Renewable Energy,Solar farm capacity,Australia,"142,000 average homes"
page_31.png,Energy,Estimated reduction in energy consumption (kWh per annum),All BCA Green Mark-awarded projects,280 million
page_32.png,Energy,Group energy consumption,Direct and indirect energy consumption,N/A
page_33.png,Energy Efficiency,Estimated savings (GJ of energy),Group energy savings from efficiency initiatives,"1,087,185"
page_34.png,Energy Efficiency,Energy savings,Projected energy savings,"1,087,185 GJ"
page_35.png,Waste,Waste recycled (tonnes),Group recycling,"64,688"
page_36.png,Environmental,Reduction in Scope 1 and Scope 2 emissions,Base Year Comparison,86%
