Image Name,Index class,Index prefix,Index name,2022
page_1.png,Sustainability,Maxeon,Sustainability Report,
page_2.png,Environmental,Spotlight,Launch of the SunPower One ecosystem,17
page_3.png,Introduction,Letters from leadership,Maxeon,
page_4.png,Introduction,Milestone Achievement,Cradle to Cradle Silver Certification,2022
page_5.png,,,,
page_6.png,,,,
page_7.png,Global Deployments,2022 sales (% MW),United States & Canada,40.70%
page_8.png,,,,
page_9.png,,,,
page_10.png,,,,
page_11.png,Governance,Stakeholder Priorities,"Energy and Emissions 
Fair Labour and Human Rights 
Diversity and Inclusion 
Business Integrity and Ethics 
Sustainable Innovation 
Waste 
Water Management 
Occupational Health and Safety 
Community Investment 
Product Quality, Reliability and Safety 
Circular Economy 
Customer Engagement and Satisfaction 
Employee Engagement 
Learning and Development 
Fair Labour and Human Rights",N/A
page_12.png,,,,
page_13.png,,,,
page_14.png,Environmental,Energy intensity (MWh consumed/ MW produced),Energy and emissions,N/A
page_15.png,SOCIAL,TRIR (Total Recordable Incident Rate),Occupational health and safety,
page_16.png,Governance,Net Promoter Scores (NPS) for customer health,Consumer engagement and satisfaction,54 (EMEA only)
page_17.png,Environmental,,,
page_18.png,Environmental,Spotlight,Launch of the SunPower One ecosystem,
page_19.png,,,,
page_20.png,Environmental,Task Force on Climate-related Financial Disclosures (TCFD) Framework,Governance,
page_21.png,,,,
page_22.png,,,,
page_23.png,Environmental,Energy Consumption (MWh),Total,"370,346.80"
page_24.png,Environmental,Maxeon Green Bond Framework,Green Bond Principles,
page_25.png,Energy Savings,Energy savings (kWh) from solar panels at FAB4 facility,Solar Panels,309.59 MWh
page_26.png,Environmental,Energy consumption,Total energy across manufacturing sites,N/A
page_27.png,,,,
page_28.png,Environmental,Water withdrawal (mÂ³),Total water withdrawal,"4,582,823.70"
page_29.png,Environmental,Management of waste,Proportion of waste recycled by 2025 and 2030,N/A
page_30.png,Waste,Solid waste diverted from landfill (tons),Philippines facility,254
page_31.png,Environmental,Total waste produced (tons),Maxeon,"14,501"
page_32.png,Environmental,Pallet recycling projects,"['Project Primergy: 39,300 pallets returned per week', 'Project Danish: 12,400 pallets returned every two weeks', 'Project Ellis: 6,200 pallets returned every two weeks']",
page_33.png,Environmental,Recycled solar wafers per day,Solar wafers,1000
page_34.png,Energy,Energy Consumption (MWh),,
page_35.png,Energy,Employee Commute (km),,N/A
page_36.png,,,,
page_37.png,Environmental,Hazardous Waste Generation (tons),Waste,"6,125"
page_38.png,Waste,Amount of Non-Hazardous Waste Prepared for other recovery operations (tons),,-
page_39.png,Social,,,
page_40.png,Social,Solar panels installed at the school (watts),SM schools,6510
page_41.png,,,,
page_42.png,Social,Occupational health and safety,Key focus areas in FY 2022,
page_43.png,,,,
page_44.png,Social,Total Recordable Incident Rate (TRIR) per million manhours,Performance highlights,0.63
page_45.png,Social,Fair labour and human rights,Why is it material?,
page_46.png,,,,
page_47.png,Social,Fair labour and human rights,Performance highlights,Not applicable
page_48.png,Social,GRI 407-1,Freedom of association and collective bargaining,0
page_49.png,Social,Fair labour and human rights,Looking forward,N/A
page_50.png,,,,
page_51.png,Social,Eligible employeesâ€?successful completion of the leadership development programme,FY22,92.60%
page_52.png,Social,Employee engagement targets,"Leadership development programme completion (2025, 2030)",90% and 95%
page_53.png,,,,
page_54.png,,,,
page_55.png,Social,Average training hours by country/region,Americas,Not available
page_56.png,Social,Average training hours by gender,Executive leadership team,"{'Male': '13.6', 'Female': '22.7'}"
page_57.png,,,,
page_58.png,,,,
page_59.png,,,,
page_60.png,GRI 2-7,Number of employees by gender,Male,N/A
page_61.png,Social,Community investment programme,Young SDG Leaders,
page_62.png,Social,Grant a Wish,Number of children,25
page_63.png,Social,Community investment,Hosting community events,
