Image Name,Index class,Index prefix,Index name,2021
page_1.png,,,Towards,60-30
page_2.png,,,,
page_3.png,,,,
page_4.png,Electricity Sales,YTL PowerSeraya sold,Electricity,"8,766+* GWh"
page_5.png,Environmental Performance,Greenhouse Gas (GHG) emissions,CO2e,3.19 mil tCO2e
page_6.png,Environmental,Singapore climate change target,GHG Intensity reduction,36% reduction in GHG Emissions Intensity (CO2e per SGD) from 2005 levels by 2030
page_7.png,,,,
page_8.png,,,,
page_9.png,,,,
page_10.png,Sustainability Thrust,N/A,Reduce GHG Emissions & Resources,N/A
page_11.png,Environmental,Scope 1 GHG Emissions Projection (tCO2e),GHG Emissions,FY 20/21
page_12.png,,,,
page_13.png,Powering Performance,Electricity generated and sold (GWh),Wholesale electricity market,8766
page_14.png,Environmental,GHG emissions reduction,FY20/21,"40,000 metric tons"
page_15.png,Supporting the Local Economy,Company Purchased Non-oil Related Goods and Services (FY2021),From Local Suppliers,95%
page_16.png,GHG Emissions,Reduction from 2010 levels,Absolute Emissions,53.80%
page_17.png,Governance,Data Security & Privacy Breaches,ZERO,0
page_18.png,Environmental,Electric van mileage,Electric van mileage in 2019,3062 km
page_19.png,Environmental,Direct & Indirect GHG Emissions (in tCO2e),FY 20/21,"3,188,552"
page_20.png,Energy,Total Fuel Consumption (Non-Renewable Sources) in GJ,Natural Gas,"62,375,777"
page_21.png,Water,GRI 303-3,"Water Withdrawal (in megalitres) - Seawater (> 1,000 mg/L Total Dissolved Solids)",1658.4
page_22.png,GHG Emissions,Direct (Scope 1) GHG Emissions in tCO₂e,GRI 305-1,"3,506,752"
page_23.png,Water Pollution,Non-GRI,Significant spills,Zero chemical and oil spills consistently over the past 3 years
page_24.png,Social Performance,"Nurturing an engaged, open & collaborative workforce",Learning and development,Not specified
page_25.png,Demographics,Gender Composition,Female,24.80%
page_26.png,,,,
page_27.png,Ratio of Base Salary,Position,Overall,1
page_28.png,Safety Performance,Near-miss reporting,FY20/21,119 near-misses
page_29.png,Fatalities and Injuries,Overall (Employees & Non-Employees),Major Accidents,0
page_30.png,,,,
page_31.png,Key ESG Performance FY20/21,,Environmental Performance,
page_32.png,Engagement Activity,Food bundles donated and prevented food wastage,Geneco Donation,"1,500 food bundles, 6,700kg of food wastage"
page_33.png,Environmental,Micro-Green kits giveaways,JollyTogether initiative,50
page_34.png,Governance,Board of Directors,Committees and Policies,N/A
page_35.png,Governance,Key ESG Performance FY20/21,Environmental Performance,
page_36.png,Governance,RMC oversight of risk,Risk Management Committee,Not specified
page_37.png,,,,
page_38.png,Data Security,Privacy Breaches,,0
page_39.png,Information Security,ISO 27001 Audit,Non-conformances FY20/21,No significant non-conformances
page_40.png,Security,Phishing campaigns,Employee email security awareness,"2,722"
page_41.png,Corporate Governance,Percentage of operations assessed for risks related to corruption,FY20/21,33%
page_42.png,,,,
page_43.png,,,,
page_44.png,"Energy, GHG Emissions & Water",Improving the energy & water efficiency of the power plant operations,Increasing the share of generation from renewables,
page_45.png,Higher Priority Material Issues,Talent Management & Retention,Significant Impacts to/by Key Stakeholders,
page_46.png,,,,
page_47.png,Economic topics,Economic Performance,GRI 201-1,
page_48.png,,,,
page_49.png,,,,
page_50.png,General Disclosures,GRI 102: General Disclosures 2016,Name of organisation,
page_51.png,General Disclosures,GRI 102: General Disclosures 2016,Identifying and selecting stakeholders,102-42
page_52.png,MATERIAL TOPIC DISCLOSURES,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,Pg 25
page_53.png,Climate Change (GHG Emissions),GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,Pg 22
page_54.png,,,,
