Image Name,Index class,Index prefix,Index name,2023
page_1.png,,,,
page_2.png,Company Information,Chairman's message,CEO's message,3
page_3.png,Company,Power generation assets,Installed capacity,2800 MW
page_4.png,Energy,Electricity Generation,YTL PowerSeraya,"10,040 GWh"
page_5.png,Environmental,Direct emissions reduction target,Scope 1 emissions,60%
page_6.png,Financial,Electricity sales (GWh),YTL PowerSeraya,10440 GWh
page_7.png,Environmental,Scope 1 emissions (tCO2 eq),Company's emissions,"3,800,000"
page_8.png,Environmental,Customers using Power Eco Add-on,As of 30 June 2023,"3,400"
page_9.png,Community Engagement,Trees planted (units),National Parks Board (NParks),3000
page_10.png,,,,
page_11.png,,,,
page_12.png,,,,
page_13.png,Low Carbon,Net zero/carbon neutrality,operations,by 2050
page_14.png,Environmental,EV charging stations target,Public housing estates carparks by 2025,"12,000"
page_15.png,N/A,N/A,N/A,N/A
page_16.png,Environmental Stewardship,Climate and Energy,Climate Action,
page_17.png,Environmental Stewardship,Climate Action and Environmental Management,YTL PowerSeraya commitment to sustainability,
page_18.png,Stakeholder Engagement,,Engaging Key Stakeholders,
page_19.png,Stakeholder Engagement,Stakeholder Groups,Regulators,
page_20.png,,,,
page_21.png,,,,
page_22.png,Climate Action,GRI 201-2 | 305-5,The Task Force on Climate-related Financial Disclosures (TCFD),
page_23.png,,,,
page_24.png,Environmental,Carbon dioxide (GtCO2/yr),Possible future emissions scenarios,
page_25.png,Climate-Related Risks,Short-Term Risks (By 2030),Physical Risks - Extreme weather events such as extreme rainfall and floods could affect our operating infrastructure,1507 millimetres
page_26.png,Long-Term Risks (By 2050),Physical Risks,Based on Singapore鈥檚 V3 climate projection,34 掳C
page_27.png,Energy Sources,Expand solar power capacity,Power generation,2 GW
page_28.png,,,,
page_29.png,Metrics,Greenhouse Gases,Scope 1 Emissions,YTL PowerSeraya has pledged to reduce its direct emissions by 60% from its 2010 level by 2030
page_30.png,Transition Risks,Rising Carbon Tax,Singapore's Carbon Pricing Act,$5/tCO2e
page_31.png,Environmental,GRI 302-1 302-4 305-1 305-2 305-5,Emissions Management,
page_32.png,Other Gases,SOx,NEA Industrial Emission Limit,"Below 1,700 mg/Nm鲁"
page_33.png,Environmental,Total water withdrawal (m鲁),Power plants,"2,135,500"
page_34.png,Energy Management,Total direct non-renewable fuel consumption increase rate,Post Tuaspring Power Plant acquisition,12.70%
page_35.png,Energy,Direct Non-Renewable Fuel Consumption (GJ),Natural gas,"75,904,717"
page_36.png,,,,
page_37.png,Customer Satisfaction,Power Eco Add-on,Residential customers with Power Eco Add-on,"As of 30 June 2023, about 3,400 customers have opted for Power Eco Add-on, and about 7,800 units of CC and 12,000 units of REC were sold in Financial Year 2022/2023. The Company aims to double the number of customers with Power Eco Add-on by 2030 from its 2023 level."
page_38.png,Human Capital,Workforce Count,Permanent and contract employees,374
page_39.png,,,,
page_40.png,Human Capital Management,Total training hours,Yearly increase,"10,081"
page_41.png,Training and Talent Development,Average Training Hours Per Employee (Hours),,26.97
page_42.png,Societal Enrichment,Labour Practices,Uplifting wages and work prospects,
page_43.png,Governance,Workplace safety,Committees,None
page_44.png,WSH Performance,Total number of man-hours worked,Direct Workforce,"839,778"
page_45.png,Societal Enrichment,Scholarship cost,Financial year ended 30 June 2023,"565,000"
page_46.png,Societal Enrichment,Community Outreach Programmes,Trees planted since 2021,150
page_47.png,,,,
page_48.png,,,,
page_49.png,,,,
page_50.png,Strategic Risk,Risks that may significantly impact the overall strategic direction of YTLPS,,
page_51.png,Corporate Governance,ERM Department,Risk Management Processes,N/A
page_52.png,,,,
page_53.png,Financial Year,Compliance Training Participation,Online compliance risk training,100%
page_54.png,Sustainability,Potential climate-related risks,Sea level rise impact,Not specified
page_55.png,Cybersecurity,Substantiated complaints concerning breaches of customer privacy or loss of customer data,FY2022/2023,0
page_56.png,Supply Chain Management,Procurement expenditure to local suppliers,Financial Year 2022/2023,94%
page_57.png,,,,
page_58.png,,,,
page_59.png,General Disclosures 2021,2月1日,Organisational details,3
page_60.png,GRI 2: General Disclosures 2021,2月26日,Mechanisms for seeking advice and raising concerns,63
page_61.png,Anti-Corruption,205-2,Communication and training about anti-corruption policies and procedures,52
page_62.png,Waste,GRI 3: Material Topics 2021,Management of material topics,34
page_63.png,Diversity and Equality,GRI 3: Material Topics 2021,GRI 405: Diversity and Equal Opportunity 2016,"[{'Index prefix': '3-3', 'Index name': 'Management of material topics', 'Page Number': '39'}, {'Index prefix': '405-1', 'Index name': 'Diversity of governance bodies and employees', 'Page Number': '39'}]"
