Image Name,Index class,Index prefix,Index name,2023
page_1.png,Sustainability Report,SUSTAINABILITY REPORT 2023,INVESTING IN A SUSTAINABLE FUTURE,
page_2.png,,,,
page_3.png,,,,
page_4.png,,,,
page_5.png,Environmental,Reduction in Scope 1 and 2 carbon emissions,Baseline comparison,69.50%
page_6.png,,,,
page_7.png,Community Investments,Social investments and industry advancement,Contributions,$4.3 million
page_8.png,Environmental,Reduction in Scope 1 emissions,,93%
page_9.png,Environmental,Reduction in water withdrawal from baseline,Reduced Water Withdrawal,"18,441,820 mÂ³"
page_10.png,Environmental,Carbon Emissions,Net zero,
page_11.png,FTSE4Good Index Series,Keppel has been a constituent,FTSE4Good Index Series,2019
page_12.png,,,,
page_13.png,Environmental Stewardship,Material ESG Factors,['Climate Action and Environmental Management'],
page_14.png,,,,
page_15.png,,,,
page_16.png,,,,
page_17.png,Shareholders and Investors,Key Engagement Platforms,Meetings and roadshows,
page_18.png,,,,
page_19.png,Environmental Stewardship,Climate Action and Environmental Management,Keppel's commitment and sustainability strategy,NA
page_20.png,Highly Critical,Climate Action and Environmental Management,"Climate Action, Energy Management, Water Management, Investing in Sustainable Solutions",
page_21.png,,,,
page_22.png,Environmental,Renewable energy portfolio,Target by 2030,7 GW
page_23.png,Human Capital Management,Employee Engagement Survey,Engagement score,86%
page_24.png,Governance - Recommended Disclosure,Describe the boardâ€™s oversight of climate-related risks and opportunities.,"Sustainability-related topics are regularly discussed by the Board, meets six times a year.",Established Board Sustainability and Safety Committee (BSSC) in 2022.
page_25.png,,,,
page_26.png,Environmental,Average annual financial impact range for physical damage,19 assets,$4.9 billion
page_27.png,Environmental,Keppel's absolute reduction of CO2 emissions,Scope 1 and 2,69.50%
page_28.png,Environmental,Scope 1 and 2 emissions,Keppel reduction achievement,"52,506 tCO2e"
page_29.png,Fund Management and Investment Platforms,Keppel Sakra Cogen Plant,Hydrogen-Ready Power Plant,
page_30.png,Infrastructure,Emissions intensity of Singapore power portfolio,Keppel Sakra Cogen Plant,N/A
page_31.png,,,,
page_32.png,Environmental,Percentage reduction,Water withdrawal,88%
page_33.png,Environmental,Scope 1 and 2 emissions,Reduction in Scope 1 and Scope 2 carbon emissions from 2020 baseline,69.50%
page_34.png,Environmental Stewardship,Environmental Management Systems certification,ISO 14001,78%
page_35.png,Environmental,Total green building expenditure,BCA Green Mark-certified properties,194 million cumulatively since 2006
page_36.png,Environmental,Energy consumption (GJ),Energy efficiency improvement,"20,101 GJ of direct energy and 502,719 GJ of indirect energy"
page_37.png,Energy Consumption,Energy Consumption (GJ),,"1,126,285"
page_38.png,Waste Generated,Waste Recycled,Waste,84199
